mode,bit_setting,logit_cosine_mean_pm_sd,logit_cosine_similarity_mean,logit_cosine_similarity_sd,hidden_cosine_mean_pm_sd,hidden_cosine_similarity_mean,hidden_cosine_similarity_sd,memory_ratio_mean_pm_sd,memory_ratio_vs_exact_mean,memory_ratio_vs_exact_sd
key_only_random,2,0.995117 +/- 0.001953,0.9951171875,0.001953125,0.997070 +/- 0.003740,0.9970703125,0.0037399496396731957,0.566406 +/- 0.000000,0.56640625,0.0
key_only_random,2.5,0.998047 +/- 0.002255,0.998046875,0.0022552744890219755,0.999023 +/- 0.001953,0.9990234375,0.001953125,0.574219 +/- 0.000000,0.57421875,0.0
key_only_random,3,1.000000 +/- 0.000000,1.0,0.0,0.998047 +/- 0.002255,0.998046875,0.0022552744890219755,0.597656 +/- 0.000000,0.59765625,0.0
key_only_random,3.5,0.999023 +/- 0.001953,0.9990234375,0.001953125,0.999023 +/- 0.001953,0.9990234375,0.001953125,0.605469 +/- 0.000000,0.60546875,0.0
key_only_random,4,0.998047 +/- 0.003906,0.998046875,0.00390625,0.999023 +/- 0.001953,0.9990234375,0.001953125,0.628906 +/- 0.000000,0.62890625,0.0
full_kv,2,0.995117 +/- 0.001953,0.9951171875,0.001953125,0.939453 +/- 0.006766,0.939453125,0.0067658234670659265,0.130859 +/- 0.000000,0.130859375,0.0
full_kv,2.5,0.998047 +/- 0.002255,0.998046875,0.0022552744890219755,0.957031 +/- 0.003189,0.95703125,0.00318943976924893,0.146484 +/- 0.000000,0.146484375,0.0
full_kv,3,1.000000 +/- 0.000000,1.0,0.0,0.980469 +/- 0.005524,0.98046875,0.005524271728019903,0.193359 +/- 0.000000,0.193359375,0.0
full_kv,3.5,0.999023 +/- 0.001953,0.9990234375,0.001953125,0.988281 +/- 0.003189,0.98828125,0.00318943976924893,0.208984 +/- 0.000000,0.208984375,0.0
full_kv,4,0.998047 +/- 0.003906,0.998046875,0.00390625,0.995117 +/- 0.001953,0.9951171875,0.001953125,0.255859 +/- 0.000000,0.255859375,0.0
